,ConstituentID,Classification,DateAcquired,Cataloged,ObjectID,Height(cm),Width(cm)
103565,756.0,Video,08/10/2008,Y,150229,,
117771,5983.0,Print,27/10/2015,Y,197070,55.3,64.8
11042,5994.0,Illustrated Book,26/05/1960,N,12971,8.9,8.8
90005,710.0,Print,18/06/2008,Y,117000,12.0,14.7
54253,4109.0,Photograph,13/12/1967,N,58877,18.1,24.2
36458,229.0,Photograph,06/03/1968,Y,40163,,
88470,3048.0,Drawing,13/02/2001,Y,109760,19.0,20.3
16761,5042.0,Illustrated Book,03/11/1966,Y,19057,27.0,20.2
65916,1402.0,Print,04/11/1943,Y,72375,14.1,13.2
113749,8100.0,Architecture,19/05/2014,Y,184415,13.97002794,21.90754382
28671,5795.0,Illustrated Book,06/10/1964,N,31086,11.3,11.5
20030,1633.0,Illustrated Book,09/11/1965,N,22393,24.3,33.3
54014,8577.0,Photograph,14/06/2001,Y,58637,24.3,15.8
129899,1859.0,Print,04/06/2007,Y,407311,42.0,29.7
12716,366.0,Illustrated Book,20/05/1992,N,14775,34.8,49.5
49416,1777.0,Photograph,11/10/1966,Y,53715,17.3,19.3
77550,7967.0,Print,18/11/1999,Y,86660,24.5,19.6
40788,60.0,Photograph,05/04/1940,Y,44584,30.8,21.9
34673,3302.0,Drawing,10/09/1985,Y,38252,19.5,31.0
77159,1201.0,Drawing,,Y,86120,53.34010668,34.29006858
26655,4016.0,Illustrated Book,06/10/1964,Y,29058,9.3,13.7
99635,8595.0,Photograph,07/10/2010,Y,141274,10.6,5.8
73792,4878.0,Sculpture,09/12/1980,Y,81794,3.8,283.8
26253,3832.0,Illustrated Book,06/10/1964,N,28656,21.5,19.8
35376,229.0,Photograph,06/03/1968,N,39079,,
40617,169.0,Photograph,24/02/1976,Y,44407,21.5,15.4
116141,48067.0,Design,04/06/2015,N,192703,200.0,114.0
55796,2943.0,Print,13/03/1947,Y,60997,,
114786,4370.0,Print,29/12/1942,N,186955,32.0,45.9
38783,229.0,Photograph,06/03/1968,N,42491,,
116744,5145.0,Photograph,28/05/2015,Y,194023,,
62972,4546.0,Print,23/04/1980,Y,69085,,
60894,2515.0,Print,10/01/1974,N,66719,55.9,76.6
113272,5143.0,Drawing,14/05/2014,N,183478,21.6,27.9
62978,4071.0,Print,23/10/1990,Y,69091,,
89794,710.0,Print,17/11/1993,Y,116112,16.8,12.7
99353,3008.0,Photograph,02/05/1944,Y,140974,39.3701,29.2101
104268,2374.0,Illustrated Book,06/10/1964,Y,151592,23.9,19.1
121644,8045.0,Photograph,13/10/2016,Y,216094,30.5,24.1
96567,8383.0,Drawing,11/04/2007,Y,134874,31.7500635,31.7500635
81995,27712.0,Drawing,10/05/2005,Y,95874,35.5601,27.9401
119413,6459.0,Frank Lloyd Wright Archive,,N,200983,84.45516891,90.80518161
87862,1042.0,Drawing,18/10/1967,Y,108242,35.7,29.9
9991,2832.0,Illustrated Book,05/03/1970,N,11902,39.3,30.5
27881,5053.0,Illustrated Book,06/10/1964,N,30294,5.2,20.1
92719,4823.0,Drawing,,Y,125416,35.4,27.8
22650,1589.0,Illustrated Book,06/10/1964,N,25024,14.5,10.5
115673,7500.0,Illustrated Book,17/12/2014,Y,191073,21.6,14.0
61284,4016.0,Print,19/12/1947,Y,67197,12.4,14.8
115494,32475.0,Design,02/03/2015,Y,189439,31.11506223,31.11506223
129327,8595.0,Photograph,,Y,405130,,
71280,3832.0,Painting,03/02/1949,Y,78389,181.0,219.1
71405,1447.0,Painting,30/01/1951,Y,78557,195.6,97.5
37865,229.0,Photograph,06/03/1968,N,41571,,
46026,60.0,Photograph,15/10/1981,N,50189,24.5,19.9
34809,4870.0,Drawing,01/01/1983,Y,38431,31.4,32.1
16209,335.0,Illustrated Book,29/09/1949,Y,18458,13.6,14.4
47724,5664.0,Photograph,13/10/1976,N,51950,18.8,13.0
22317,1511.0,Illustrated Book,06/10/1964,N,24687,9.0,17.2
119949,1293.0,Drawing,21/01/2016,Y,201990,,
112824,3268.0,Photograph,08/05/2014,Y,180242,26.6,19.4
4034,7072.0,Design,04/05/1993,Y,5563,,
114661,3030.0,Painting,09/12/1991,Y,186369,10.2,14.9
116168,28426.0,Print,03/06/2015,Y,192753,50.1,40.0
102458,8059.0,Mies van der Rohe Archive,,N,147808,46.35509271,46.35509271
75501,3758.0,Drawing,09/04/2002,Y,84120,56.8326,77.4702
43778,2468.0,Photograph,02/05/1972,N,47768,55.9,83.5
111417,6459.0,Frank Lloyd Wright Archive,,N,173994,86.67767336,61.27762256
94647,8139.0,Photograph,07/10/2009,Y,130804,34.7,28.0
22611,6077.0,Illustrated Book,06/10/1964,N,24985,27.8,36.7
50329,8595.0,Photograph,17/12/1981,N,54811,17.9,24.8
59794,2984.0,Print,10/01/1974,N,65501,76.4,55.9
26799,4514.0,Illustrated Book,06/10/1964,N,29202,20.0,14.0
130196,131526.0,Design,04/11/2019,N,410389,6.0,8.5
32862,1752.0,Drawing,03/12/1937,Y,35971,10.5,12.4
51276,2015.0,Photograph,08/12/1976,Y,55794,16.5,20.3
45143,4409.0,Photograph,22/04/1959,Y,49248,17.7,19.3
20880,1055.0,Illustrated Book,06/10/1964,N,23243,37.2,27.5
16650,3821.0,Illustrated Book,03/11/1966,N,18945,25.8,19.5
90171,6281.0,Video,15/05/1975,Y,117979,,
115230,34459.0,Film,08/10/2008,N,188451,0.0,0.0
6855,5952.0,Design,10/12/1999,Y,8537,23.4,40.8
16741,3697.0,Illustrated Book,29/09/1949,N,19037,11.1,8.3
60566,2046.0,Print,05/10/1972,Y,66367,72.7,53.6
92330,4793.0,Print,12/11/2007,N,122629,29.6,42.0
23023,1646.0,Illustrated Book,06/10/1964,N,25398,9.1,12.0
55610,6002.0,Print,23/01/1979,Y,60794,23.1,19.7
35732,229.0,Photograph,06/03/1968,N,39437,,
75293,5039.0,Photograph,13/12/2001,N,83896,25.2,20.2
111130,561.0,Photograph,24/10/2013,Y,172481,22.2,28.2
96313,649.0,Print,20/05/1999,N,134104,27.4,21.1
117624,5933.0,Drawing,03/06/2015,Y,196358,9.6,9.207518415
119658,6459.0,Frank Lloyd Wright Archive,,N,201230,,
71247,4588.0,Painting,18/02/1943,Y,78346,54.9,46.0
121567,8045.0,Photograph,13/10/2016,Y,216017,30.5,24.1
108390,3569.0,Print,21/05/2013,Y,165512,17.0,30.2
